Instituição;Código;TCB;SR;TD;TC;Cidade;UF;Data;Captações;;;;;;;;;;;;;;;Instrumentos Derivativos (f);Outras Obrigações (g);Passivo Circulante e Exigível a Longo Prazo (h) = (e) + (f) + (g);Resultados de Exercícios Futuros (i);Patrimônio Líquido (j);Passivo Total (k) = (h) + (i) + (j);
;;;;;;;;;Depósito Total;;;;;;Obrigações por Operações Compromissadas (b);Recursos de Aceites e Emissão de Títulos;;;;;;Obrigações por Empréstimos e Repasses (d);Captações (e) = (a) + (b) + (c) + (d);;;;;;;
;;;;;;;;;Depósitos à Vista (a1);Depósitos de Poupança (a2);Depósitos Interfinanceiros (a3);Depósitos a Prazo (a4);Outros Depósitos (a5);Depósito Total (a);;Letras de Crédito Imobiliário (c1);Letras de Crédito do Agronegócio (c2);Letras Financeiras (c3);Obrigações por Títulos e Valores Mobiliários no Exterior (c4);Outros Recursos de Aceites e Emissão de Títulos (c5);Recursos de Aceites e Emissão de Títulos (c);;;;;;;;;
COOPERATIVA CENTRAL DE CRÉDITO DE SANTA CATARINA E RIO GRANDE DO SUL - SICOOB CENTRAL SC/RS;80160260;b3C;S4;I;2;FLORIANOPOLIS;SC;03/2020;566;0;0;1.530.187;744;1.531.496;0;0;0;0;0;0;0;18.679;1.550.175;0;5.338.619;6.888.795;0;374.337;7.263.132
HONDA - PRUDENCIAL;1000080611;b2;S4;C;3;SAO PAULO;SP;03/2020;0;0;2.616.348;72.255;0;2.688.603;0;0;0;319.529;0;0;319.529;1.112.443;4.120.575;17.988;1.149.228;5.287.790;7.816;1.887.075;7.182.682
BCO ABN AMRO S.A. - PRUDENCIAL;1000081579;b1;S4;I;3;SAO PAULO;SP;03/2020;0;0;0;64.984;0;64.984;15.099;0;54.334;11.282;0;0;65.616;2.368.510;2.514.209;31.875;3.717.291;6.263.376;16.410;618.677;6.898.463
COOPERATIVA CENTRAL DE CRÉDITO DE MINAS GERAIS LTDA. - SICOOB CENTRAL CREDIMINAS;25683434;b3C;S4;I;2;BELO HORIZONTE;MG;03/2020;0;0;0;0;0;0;0;0;0;0;0;0;0;100.860;100.860;0;6.086.545;6.187.405;0;573.973;6.761.378
BCO DE LAGE LANDEN BRASIL S.A. - PRUDENCIAL;1000081421;b2;S4;I;3;PORTO ALEGRE;RS;03/2020;0;0;0;102.229;0;102.229;0;0;0;0;0;0;0;5.035.047;5.137.276;0;378.385;5.515.661;124.254;1.033.961;6.673.876
SOFISA - PRUDENCIAL;1000080271;b1;S4;C;2;SAO PAULO;SP;03/2020;158.529;0;13.614;2.726.598;0;2.898.741;465.119;318.350;207.166;1.500.580;41.824;0;2.067.919;97.000;5.528.779;2.880;196.862;5.728.521;790;772.921;6.502.233
COOPERATIVA DE CREDITO VALE DO ITAJAI - VIACREDI;82639451;b3S;S5;I;2;BLUMENAU;SC;03/2020;799.060;0;138.342;3.428.556;30.798;4.396.757;0;0;0;0;0;0;0;3.138;4.399.896;0;296.783;4.696.679;0;1.656.110;6.352.789
BCO DES. DE MG S.A. - PRUDENCIAL;1000081328;b4;S3;I;1;BELO HORIZONTE;MG;03/2020;0;0;91.764;100.992;0;192.756;0;0;132.203;91.112;0;0;223.315;3.066.128;3.482.199;0;809.546;4.291.745;10.035;1.838.848;6.140.628
BCO DO EST. DE SE S.A. - PRUDENCIAL;1000081634;b1;S4;C;1;ARACAJU;SE;03/2020;739.685;1.456.555;84.877;2.476.511;1.358;4.758.986;3.650;38.900;0;49.335;0;0;88.235;96.135;4.947.006;0;678.149;5.625.155;10.871;498.285;6.134.311
CREFISA S.A. CFI - PRUDENCIAL;1000083632;b1;S4;C;2;SAO PAULO;SP;03/2020;33.093;0;0;602;7.354;41.048;0;0;0;0;0;0;0;0;41.048;0;294.281;335.330;2.612;5.785.441;6.123.382
PARANÁ BANCO - PRUDENCIAL;1000080233;b1;S4;C;2;CURITIBA;PR;03/2020;8.144;0;345.520;1.661.522;0;2.015.187;287.102;13.925;0;2.040.781;0;0;2.054.706;0;4.356.994;0;351.542;4.708.536;0;1.212.559;5.921.095
COOPERATIVA DE CREDITO CREDICITRUS;54037916;b3S;S4;I;2;BEBEDOURO;SP;03/2020;751.808;0;0;1.802.413;19.517;2.573.739;0;0;1.169.068;0;0;0;1.169.068;1.150;3.743.957;0;485.082;4.229.040;0;1.690.620;5.919.660
VOLVO - PRUDENCIAL;1000080769;b2;S4;C;3;CURITIBA;PR;03/2020;0;0;651.184;2.787;0;653.970;0;0;0;0;0;0;0;3.915.406;4.569.376;0;149.190;4.718.566;7.452;1.149.570;5.875.588
BANCO FIDIS - PRUDENCIAL;1000081751;b2;S4;I;3;BETIM;MG;03/2020;0;0;1.404.600;1.392.919;0;2.797.520;0;979.869;0;817.344;0;0;1.797.213;0;4.594.733;2.535;99.588;4.696.856;560;835.574;5.532.990
CENTRAL DAS COOPERATIVAS DE ECONOMIA E CREDITO DO ESTADO DE MINAS GERAIS LTDA. - SICOOB CENTRAL CECREMGE;309024;b3C;S4;I;2;BELO HORIZONTE;MG;03/2020;0;0;0;689;0;689;0;0;0;0;0;0;0;0;689;0;5.190.789;5.191.477;0;287.870;5.479.347
COOPERATIVA CENTRAL DE CRÉDITO, POUPANÇA E INVESTIMENTO DO SUL E SUDESTE - CENTRAL SICREDI SUL/SUDESTE;87437687;b3C;S3;I;2;PORTO ALEGRE;RS;03/2020;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.636.316;4.636.316;0;406.875;5.043.191
